Part Number,Quantity,Description
9452397,10,C1 / C2 / 
2896646,10,C3 / C4 / 
1175677,20,D1 / D2 / D3 / D4 / 
1100156,5,R1 / 
1100183,5,R4 / 
2781769,5,U1 / 
