Source:,C:\Localdata\GIT_REPO\Miscellaneous\KiCad\TrackAmplifier\TrackAmplifier.sch,,,,,,,,,,
Date:,15-5-2018 12:21,,,,,,,,,,
Tool:,Eeschema (5.0.0-rc2-dev-444-g2974a2c10),,,,,,,,,,
Generator:,C:\Localdata\GIT_REPO\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,106,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Farnell,Manufacturer nr,,,
,,D5,1n4148,Device:D,Diode_SMD:D_1206_3216Metric,http://www.farnell.com/datasheets/2182681.pdf?_ga=2.239085891.1588585681.1526323724-1626853455.1515011571,2677464,,,,
,,D6,1n4148,Device:D,Diode_SMD:D_1206_3216Metric,http://www.farnell.com/datasheets/2182681.pdf?_ga=2.239085891.1588585681.1526323724-1626853455.1515011571,2677464,,,,
,,D7,1n4148,Device:D,Diode_SMD:D_1206_3216Metric,http://www.farnell.com/datasheets/2182681.pdf?_ga=2.208013010.1588585681.1526323724-1626853455.1515011571,2677464,,,,
,,D8,LED,Device:LED,LED_SMD:LED_1206_3216Metric,http://www.farnell.com/datasheets/1671530.pdf?_ga=2.242502210.1588585681.1526323724-1626853455.1515011571,1581233,MCL-S250SBLC,,,
,,D9,1n4148,Device:D,Diode_SMD:D_1206_3216Metric,http://www.farnell.com/datasheets/2182681.pdf?_ga=2.208013010.1588585681.1526323724-1626853455.1515011571,2677464,,,,
,,D10,1n4148,Device:D,Diode_SMD:D_1206_3216Metric,http://www.farnell.com/datasheets/2182681.pdf?_ga=2.208013010.1588585681.1526323724-1626853455.1515011571,2677464,,,,
,,F1,2.5A,Device:Polyfuse,Fuse:Fuse_Bourns_MF-SM_7.98x5.44mm,http://www.farnell.com/datasheets/2038620.pdf?_ga=2.252661071.792852979.1526285019-1651149783.1519657816,9350268,MF-SM250-2,,,
,,FL1,EMI_Filter_CMode,Device:EMI_Filter_CommonMode,Inductor_THT:Choke_EPCOS_B82722-A2302-N1-22.3x22.7mm,http://www.farnell.com/datasheets/1860373.pdf?_ga=2.174943842.1588585681.1526323724-1626853455.1515011571,1223076,B82722A2202N001,,,
,,FL2,EMI_Filter_CMode,Device:EMI_Filter_CommonMode,Inductor_THT:Choke_EPCOS_B82722-A2302-N1-22.3x22.7mm,http://www.farnell.com/datasheets/1860373.pdf?_ga=2.174943842.1588585681.1526323724-1626853455.1515011571,1223076,B82722A2202N001,,,
,,J1,DB15_Male_MountingHoles,TrackAmplifier-rescue:DB15_Male_MountingHoles,Connector_Dsub:DSUB-15_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,-,2294292,182-015-113R531,,,
,,J2,Conn_01x06,Connector_Generic:Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,http://www.farnell.com/datasheets/32535.pdf?_ga=2.160907771.792852979.1526285019-1651149783.1519657816,3418327,826629-6,,,
,,MK1,Mounting_Hole,Mechanical:Mounting_Hole,MountingHole:MountingHole_3.7mm_Pad_Via,-,-,-,,,
,,Q1,2N7002,Transistor_FET:2N7002,Package_TO_SOT_SMD:SOT-23,https://www.fairchildsemi.com/datasheets/2N/2N7002.pdf,2317616,2N7002ET1G,,,
,,R1,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R2,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R3,10E,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.157221117.792852979.1526285019-1651149783.1519657816,1653053,CRCW120610R0FKEB,,,
,,R4,4k7,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R5,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R6,4k7,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R7,4k7,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R8,100E,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.153896696.1588585681.1526323724-1626853455.1515011571,2616760,CRCW1206100RJNEA,,,
,,R9,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R10,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
